,0,1
0,1,6
1,1,5
2,1,27
3,1,128
4,1,19
5,1,185
6,1,42
7,1,414
8,1,571
9,1,453
10,1,452
11,1,438
12,1,329
13,1,104
14,2,298
15,2,21
16,3,42
17,4,216
18,4,367
19,4,602
20,4,372
21,4,217
22,4,603
23,4,75
24,4,156
25,4,198
26,4,342
27,4,21
28,4,474
29,4,308
30,4,10
31,4,11
32,4,195
33,4,453
34,4,517
35,4,160
36,4,132
37,4,414
38,4,19
39,4,28
40,4,135
41,4,57
42,4,70
43,4,410
44,4,587
45,4,500
46,4,59
47,4,202
48,4,312
49,4,353
50,4,391
51,4,39
52,4,27
53,4,32
54,4,105
55,4,33
56,4,6
57,4,292
58,4,387
59,5,38
60,5,37
61,5,8
62,5,19
63,5,117
64,6,160
65,6,349
66,6,140
67,6,31
68,6,217
69,6,104
70,6,84
71,6,28
72,6,602
73,6,546
74,6,603
75,6,54
76,6,18
77,6,429
78,6,19
79,6,108
80,6,109
81,6,42
82,6,99
83,6,284
84,6,604
85,6,234
86,6,274
87,6,179
88,6,11
89,6,64
90,6,44
91,6,8
92,6,9
93,6,501
94,6,14
95,6,91
96,6,414
97,6,181
98,6,32
99,6,89
100,6,33
101,6,567
102,6,458
103,6,36
104,6,93
105,6,492
106,6,57
107,6,436
108,6,380
109,6,314
110,6,117
111,7,380
112,7,101
113,7,75
114,7,296
115,7,139
116,7,19
117,7,132
118,7,18
119,7,480
120,7,605
121,7,111
122,7,182
123,7,226
124,8,91
125,8,19
126,8,27
127,8,32
128,8,35
129,9,603
130,9,448
131,9,74
132,9,606
133,9,314
134,9,312
135,9,346
136,9,199
137,9,57
138,9,28
139,9,84
140,10,139
141,10,339
142,10,159
143,10,111
144,10,177
145,10,82
146,10,153
147,10,105
148,10,115
149,10,47
150,10,21
151,10,126
152,10,305
153,10,19
154,10,517
155,10,125
156,10,143
157,10,232
158,10,140
159,10,68
160,11,91
161,11,307
162,11,266
163,11,26
164,11,34
165,13,307
166,13,42
167,13,603
168,13,140
169,13,19
170,13,91
171,14,81
172,14,84
173,14,18
174,14,132
175,14,414
176,14,270
177,14,58
178,14,38
179,14,42
180,15,125
181,15,136
182,15,445
183,15,148
184,15,323
185,15,68
186,15,98
187,15,247
188,15,111
189,15,272
190,15,328
191,15,21
192,15,153
193,15,50
194,15,57
195,15,339
196,15,28
197,16,18
198,16,41
199,16,22
200,16,202
201,16,82
202,16,156
203,17,91
204,18,41
205,18,317
206,18,248
207,18,606
208,18,111
209,18,249
210,18,560
211,18,62
212,18,34
213,18,63
214,18,105
215,18,380
216,18,352
217,18,74
218,18,462
219,18,212
220,18,29
221,18,210
222,18,414
223,18,274
224,18,165
225,18,137
226,18,68
227,18,125
228,18,132
229,18,23
230,18,232
231,18,298
232,18,480
233,18,21
234,18,187
235,18,19
236,18,405
237,18,89
238,18,318
239,19,91
240,19,200
241,19,228
242,19,453
243,19,146
244,19,368
245,19,509
246,19,202
247,19,315
248,19,36
249,19,177
250,19,508
251,19,314
252,19,342
253,19,39
254,19,66
255,19,288
256,19,207
257,19,41
258,19,263
259,19,372
260,19,97
261,19,40
262,19,153
263,19,262
264,19,68
265,19,181
266,19,290
267,19,265
268,19,99
269,19,127
270,19,571
271,19,42
272,19,599
273,19,292
274,19,45
275,19,182
276,19,44
277,19,266
278,19,294
279,19,156
280,19,600
281,19,75
282,19,268
283,19,102
284,19,380
285,19,186
286,19,20
287,19,270
288,19,76
289,19,298
290,19,104
291,19,217
292,19,132
293,19,51
294,19,160
295,19,382
296,19,438
297,19,135
298,19,385
299,19,219
300,19,328
301,19,469
302,19,275
303,19,412
304,19,109
305,19,137
306,19,274
307,19,387
308,19,27
309,19,136
310,19,55
311,19,608
312,19,414
313,19,220
314,19,555
315,19,195
316,19,57
317,19,307
318,19,416
319,19,113
320,19,28
321,19,391
322,19,84
323,19,225
324,19,140
325,19,59
326,19,87
327,19,115
328,19,143
329,19,474
330,19,199
331,19,33
332,19,392
333,19,89
334,19,198
335,19,117
336,19,226
337,19,448
338,19,32
339,19,367
340,19,395
341,19,479
342,19,63
343,20,274
344,20,304
345,20,108
346,20,139
347,20,57
348,20,111
349,20,600
350,20,263
351,20,197
352,20,182
353,20,156
354,20,82
355,20,177
356,20,563
357,20,195
358,20,517
359,20,132
360,20,95
361,20,448
362,20,68
363,20,135
364,20,89
365,20,414
366,20,480
367,20,131
368,20,140
369,21,75
370,21,111
371,21,279
372,21,73
373,21,231
374,21,298
375,21,352
376,21,49
377,21,248
378,21,105
379,21,474
380,21,104
381,21,365
382,21,534
383,21,590
384,21,24
385,21,306
386,21,182
387,21,448
388,21,305
389,21,94
390,21,114
391,21,586
392,21,563
393,21,212
394,21,89
395,21,258
396,21,68
397,21,294
398,21,47
399,21,313
400,21,153
401,21,537
402,21,23
403,21,489
404,21,382
405,21,551
406,21,184
407,21,41
408,21,380
409,21,143
410,21,76
411,22,528
412,22,522
413,22,182
414,22,143
415,22,140
416,22,28
417,22,57
418,22,153
419,22,159
420,22,68
421,22,52
422,22,232
423,23,84
424,23,156
425,23,41
426,23,83
427,23,290
428,23,149
429,23,600
430,23,187
431,23,28
432,23,32
433,23,140
434,23,312
435,23,599
436,23,182
437,23,60
438,23,100
439,23,27
440,23,380
441,23,178
442,23,274
443,23,132
444,23,45
445,24,47
446,24,68
447,24,111
448,24,298
449,24,28
450,24,41
451,24,199
452,25,98
453,25,62
