,userId,movieId,rating
0,1,1,4.0
1,1,3,4.0
2,1,6,4.0
3,1,47,5.0
4,1,50,5.0
5,1,70,3.0
6,1,101,5.0
7,1,110,4.0
8,1,151,5.0
9,1,157,5.0
10,1,163,5.0
11,1,216,5.0
12,1,223,3.0
13,1,231,5.0
14,1,235,4.0
15,1,260,5.0
16,1,296,3.0
261,3,31,0.5
300,4,21,3.0
301,4,32,2.0
302,4,45,3.0
303,4,47,2.0
304,4,52,3.0
305,4,58,3.0
306,4,106,4.0
307,4,125,5.0
308,4,126,1.0
309,4,162,5.0
310,4,171,3.0
311,4,176,5.0
312,4,190,2.0
313,4,215,5.0
314,4,222,1.0
315,4,232,5.0
316,4,235,2.0
317,4,247,3.0
318,4,260,5.0
319,4,265,5.0
320,4,296,1.0
516,5,1,4.0
517,5,21,4.0
518,5,34,4.0
519,5,36,4.0
520,5,39,3.0
521,5,50,4.0
522,5,58,5.0
523,5,110,4.0
524,5,150,3.0
525,5,153,3.0
526,5,232,4.0
527,5,247,5.0
528,5,253,3.0
529,5,261,4.0
530,5,265,3.0
531,5,266,1.0
532,5,290,5.0
533,5,296,5.0
534,5,300,3.0
560,6,2,4.0
561,6,3,5.0
562,6,4,3.0
563,6,5,5.0
564,6,6,4.0
565,6,7,4.0
566,6,8,3.0
567,6,10,3.0
568,6,11,4.0
569,6,13,3.0
570,6,15,4.0
571,6,16,4.0
572,6,17,4.0
573,6,19,2.0
574,6,21,2.0
575,6,22,5.0
576,6,24,4.0
577,6,25,3.0
578,6,26,4.0
579,6,27,3.0
580,6,31,3.0
581,6,32,4.0
582,6,34,4.0
583,6,36,5.0
584,6,41,4.0
585,6,43,4.0
586,6,45,3.0
587,6,46,4.0
588,6,47,4.0
589,6,50,1.0
590,6,54,4.0
591,6,60,4.0
592,6,61,4.0
593,6,62,4.0
594,6,65,3.0
595,6,66,3.0
596,6,76,4.0
597,6,79,3.0
598,6,86,5.0
599,6,87,3.0
600,6,88,2.0
601,6,89,4.0
602,6,92,4.0
603,6,93,4.0
604,6,95,4.0
605,6,100,3.0
606,6,102,1.0
